"astro-ph/0207607","Suk-Jin Yoon","Suk-Jin Yoon & Young-Wook Lee","An Aligned Stream of Low-Metallicity Clusters in the Halo of the Milky
  Way","10 pages, 4 figures, published in Science","Science 297:578-581,2002","10.1126/science.1073090",,"astro-ph",,"  One of the long-standing problems in modern astronomy is the curious division
of Galactic globular clusters, the ""Oosterhoff dichotomy,"" according to the
properties of their RR Lyrae stars. Here, we find that most of the
lowest-metallicity ([Fe/H]<-2.0) clusters, which are essential to an
understanding of this phenomenon, display a planar alignment in the outer halo.
This alignment, combined with evidence from kinematics and stellar population,
indicates a captured origin from a satellite galaxy. We show that, together
with the horizontal-branch evolutionary effect, the factor producing the
dichotomy could be a small time-gap between the cluster-formation epochs in the
Milky Way and the satellite. The results oppose the traditional view that the
metal-poorest clusters represent the indigenous and oldest population of the
Galaxy.
","[{""version"":""v1"",""created"":""Sun, 28 Jul 2002 17:36:08 GMT""}]","2009-09-28"
"astro-ph/0207608","Gregory L. Comer","G.L. Comer","Do Neutron Star Gravitational Waves Carry Superfluid Imprints?","53 pages, LaTeX using REVTeX4. To appear in a special issue of
  Foundations of Physics in honor of Jacob Bekenstein","Found.Phys.32:1903-1942,2002","10.1023/A:1022322801696",,"astro-ph gr-qc",,"  Isolated neutron stars undergoing non-radial oscillations are expected to
emit gravitational waves in the kilohertz frequency range. To date, radio
astronomers have located about 1,300 pulsars, and can estimate that there are
about 2 times 10^8 neutron stars in the galaxy. Many of these are surely old
and cold enough that their interiors will contain matter in the superfluid or
superconducting state. In fact, the so-called glitch phenomenon in pulsars (a
sudden spin-up of the pulsar's crust) is best described by assuming the
presence of superfluid neutrons and superconducting protons in the inner crusts
and cores of the pulsars. Recently there has been much progress on modelling
the dynamics of superfluid neutron stars in both the Newtonian and general
relativistic regimes. We will discuss some of the main results of this recent
work, perhaps the most important being that superfluidity should affect the
gravitational waves from neutron stars (emitted, for instance, during a glitch)
by modifying both the rotational properties of the background star and the
modes of oscillation of the perturbed configuration. Finally, we present an
analysis of the so-called zero-frequency subspace (i.e. the space of
time-independent perturbations) and determine that it is spanned by two sets of
polar (or spheroidal) and two sets of axial (or toroidal) degenerate
perturbations for the general relativistic system. As in the Newtonian case,
the polar perturbations are the g-modes which are missing from the pulsation
spectrum of a non-rotating configuration, and the axial perturbations should
lead to two sets of r-modes when the degeneracy of the frequencies is broken by
having the background rotate.
","[{""version"":""v1"",""created"":""Mon, 29 Jul 2002 01:33:07 GMT""}]","2010-11-19"
"astro-ph/0207609","Huang Y. F.","Y.F. Huang (NJU), T. Lu (NJU), Z.G. Dai (NJU) and K.S. Cheng (HKU)","Beaming Effects in Gamma-Ray Bursts","Minor changes; 10 pages, with 9 eps figures embedded. Talk given at
  the Sixth Pacific Rim Conference on Stellar Astrophysics (Xi'an, China, July
  11-17, 2002). A slightly revised version will appear in the proceedings",,"10.1007/978-94-017-0403-8_6",,"astro-ph",,"  Based on a refined generic dynamical model, we investigate afterglows from
jetted gamma-ray burst (GRB) remnants numerically. In the relativistic phase,
the light curve break could marginally be seen. However, an obvious break does
exist at the transition from the relativistic phase to the non-relativistic
phase, which typically occurs at time 10 to 30 days. It is very interesting
that the break is affected by many parameters, especially by the electron
energy fraction (xi_e), and the magnetic energy fraction (xi_B^2). Implication
of orphan afterglow surveys on GRB beaming is investigated. The possible
existence of a kind of cylindrical jets is also discussed.
","[{""version"":""v1"",""created"":""Mon, 29 Jul 2002 01:53:16 GMT""},{""version"":""v2"",""created"":""Wed, 14 Aug 2002 08:49:34 GMT""},{""version"":""v3"",""created"":""Thu, 15 Aug 2002 07:20:10 GMT""}]","2016-01-27"
"astro-ph/0207610","Gleissner","T. Gleissner (1), J. Wilms (1), K. Pottschmidt (2 and 3), P. Uttley
  (4), M.A. Nowak (5), R. Staubert (1) ((1) IAA Tuebingen, (2) MPE, (3) ISDC,
  (4) University of Southampton, (5) MIT)","Short term X-ray rms variability of Cyg X-1","3 pages, 3 figures, Proceedings of the 4th Microquasar Workshop, eds.
  Ph Durouchoux, Y. Fuchs and J. Rodriguez, published by the Center for Space
  Physics: Kolkata","Ph. Durouchoux, Y. Fuchs, and J. Rodriguez (Eds.), New Views on
  Microquasars, Kolkata: Centre for Space Physics, 2004, p. 46",,,"astro-ph",,"  A linear dependence of the amplitude of broadband noise variability on flux
for GBHC and AGN has been recently shown by Uttley & McHardy (2001). We present
the long term evolution of this rms-flux-relation for Cyg X-1 as monitored from
1998-2002 with RXTE. We confirm the linear relationship in the hard state and
analyze the evolution of the correlation for the period of 1996-2002. In the
intermediate and the soft state, we find considerable deviations from the
otherwise linear relationship. A possible explanation for the rms-flux-relation
is a superposition of local mass accretion rate variations.
","[{""version"":""v1"",""created"":""Mon, 29 Jul 2002 07:31:25 GMT""}]","2007-05-23"
"astro-ph/0207611","Taichi Kato","T. Kato (Kyoto U), R. Stubbings (VSNET Collaboration team), H. Yamaok
  (Kyushu U), P. Nelson, B. Monard, A. Pearce, G. Garradd (VSNET Collaboration
  team)","NSV 10934: an Unusual ROSAT-Selected Dwarf Nova: An Analogous Object to
  HT Cam?","4 pages, 3 figures, submitted to Inf. Bull. Var. Stars",,,,"astro-ph",,"  NSV 10934 was discovered as a large-amplitude suspected variable star of
unknown classification. We noticed that the object is identified with a bright
ROSAT X-ray source (1RXS J184050.3-834305). Systematic monitoring of this
object by the VSNET team revealed four outbursts between 2001 and 2002,
confirming the dwarf nova-type nature of NSV 10934. The outbursts were
characterized by a rapid fading (1.5 mag within 0.90 d) toward the end of the
outbursts. Combined with the strong and relatively hard X-ray detection, this
outburst behavior suggests that the object may be related to the recently
discovered intermediate polar, HT Cam (astro-ph/0206184).
","[{""version"":""v1"",""created"":""Mon, 29 Jul 2002 08:43:58 GMT""}]","2007-05-23"
"astro-ph/0207613","Anna Pasquali","A. Pasquali (ESO/ST-ECF), A. Nota (STScI), L.J. Smith (UCL), S.
  Akiyama (STScI), M. Messineo (Leiden Observatory), M. Clampin (STScI)","Multi-wavelength study of the nebula associated with the galactic LBV
  candidate HD 168625","26 pages, 9 Postscript figures. AJ, accepted",,"10.1086/341820",,"astro-ph",,"  We present high resolution HST imaging of the nebula associated with the
galactic LBV candidate HD 168625, together with ISO imaging and AAT echelle
spectroscopy. The overall nebular morphology is elliptical with the major axis
at PA ~ 120 deg. The dimensions of the nebula are 12'' x 16''.7 at Halpha and
15''.5 x 23''.5 at 4 micron. In the HST Halpha image, the nebula is resolved
into a complex structure of filaments and arcs of different brightness. The
asymmetry is lost in the HST continuum image where the nebula appears more
diffuse and richer in filaments and clumps with the shape of cometary tails. At
11.3 micron the nebular emission peaks in two diametrically opposite lobes,
placed on the nebula boundaries and along its major axis. A very faint loop is
also visible at optical wavelengths, north and south of the shell. We suggest
that the nebula is an ellipsoid with projected sizes of 14'' and 9'' (0.19 pc x
0.12 pc) along the RA and DEC directions, respectively. This ellipsoid is
expanding at 19 km/s and is dynamically as old as ~ 4800 yrs; it probably
interacts with the stellar wind and the loop so that PAH emission is detected
from its caps, i.e. the lobes seen in the ISO images. The chemistry of the loop
suggests that it is composed of un-processed material, probably from the local
interstellar medium swept by the stellar wind.
","[{""version"":""v1"",""created"":""Mon, 29 Jul 2002 09:28:26 GMT""}]","2009-11-07"
"astro-ph/0207614","M. F. Graham","J. Meaburn, M.F. Graham and M.P. Redman","Two jets from the Orion (M42) `proplyds' - kinematics, morphologies and
  origins","7 pages, 5 figures. Accepted for publication in MNRAS","Mon.Not.Roy.Astron.Soc. 337 (2002) 327","10.1046/j.1365-8711.2002.05916.x",,"astro-ph",,"  A spatially unresolved velocity feature, with an approaching radial velocity
of ~100 km/s with respect to the systemic radial velocity, in a
position-velocity array of [O III] 5007 line profiles is identified as the
kinematical counterpart of a jet from the proplyd LV 5 (158-323) in the core of
the Orion Nebula. The only candidate in HST imagery for this jet appears to be
a displaced, ionized knot. Also an elongated jet projects from the proplyd GMR
15 (161-307). Its receding radial velocity difference appears at ~80 km/s in
the same position-velocity array.
  A `standard' model for jets from young, low mass stars invokes an
accelerating, continuous flow outwards with an opening angle of a few degrees.
Here an alternative explanation is suggested which may apply to some, if not
all, of the proplyd jets. In this, a `bullet' of dense material is ejected
which ploughs through dense circumstellar ambient gas. The decelerating tail of
material ablated from the bullet's surface would be indistinguishable from a
continuously emitted jet in current observations.
","[{""version"":""v1"",""created"":""Mon, 29 Jul 2002 09:48:19 GMT""}]","2009-11-07"
"astro-ph/0207615","Giorgio Matt","G. Matt (Dip. Fisica, Univ. Roma Tre)","The iron Kalpha Compton Shoulder in transmitted and reflected spectra","4 pages; accepted for publication in MNRAS","Mon.Not.Roy.Astron.Soc. 337 (2002) 147","10.1046/j.1365-8711.2002.05890.x",,"astro-ph",,"  We calculate the Equivalent Widht of the Core and the centroid energy and
relative flux of the 1st order Compton Shoulder of the iron Kalpha emission
line from neutral matter. The calculations are performed with Monte Carlo
simulations. We explore a large range of column densities for both transmitted
and reflected spectra, and study the dependence on the iron abundance. The
Compton Shoulder is now becoming observable in many objects thanks to the
improved sensitivity and/or energy resolution of XMM-Newton and Chandra
satellites, and the present work aims to provide a tool to derive informations
on the geometry and element abundances of the line emitting matter from Compton
Shoulder measurements.
","[{""version"":""v1"",""created"":""Mon, 29 Jul 2002 11:58:17 GMT""}]","2009-11-07"
"astro-ph/0207616","Joachim Wambsganss","Joachim Wambsganss (Potsdam University, Germany)","The Search for Matter with Gravitational Lensing","10 pages, 4 figures, 1 Latex style file - To appear in `Where's the
  Matter? Tracing Bright and Dark Matter with the New Generation of Large Scale
  Surveys', Eds. M. Treyer & L. Tresse (Frontier Group, 2002)",,,,"astro-ph",,"  Gravitational lensing is a powerful tool to detect compact matter on very
different mass scales. Of particular importance is the fact that lensing is
sensitive to both luminous and dark matter alike. Depending on the mass scale,
all lensing effects are used in the search for matter: offset in position,
image distortion, magnification, and multiple images. Gravitational lens
detections cover three main mass ranges: roughly stellar mass, galaxy mass and
galaxy cluster mass scales, i.e. well known classes of objects. Various
searches based on different techniques explored the frequency of compact
objects over more than 15 orders of magnitude, so far mostly providing null
results in mass ranges different from the ones just mentioned. Combined, the
lensing results offer some interesting limits on the cosmological frequency of
compact objects in the mass interval 10^{-3} <= M/M_odot <= 10^{15},
unfortunately still with some gaps in between. In the near future, further
studies along these lines promise to fill the gaps and to push the limits
further down, or they might even detect new object classes.
","[{""version"":""v1"",""created"":""Mon, 29 Jul 2002 12:09:10 GMT""}]","2007-05-23"
"astro-ph/0207617","Alejandra Kandus","Jose A.S. Lima, Alejandra Kandus and Reuven Opher","On the thickness of a mildly relativistic collisional shock wave","11 pages, no figures, title changed, improved introduction and
  discussion. New author added","Phys.Rev.D67:023002,2003","10.1103/PhysRevD.67.023002",,"astro-ph hep-ph physics.flu-dyn",,"  We consider an imperfect relativistic fluid which develops a shock wave and
discuss its structure and thickness, taking into account the effects of
viscosity and heat conduction in the form of sound absorption. The junction
conditions and the non linear equations describing the evolution of the shock
are derived with the corresponding Newtonian limit discussed in detail. As
happens in the non relativistic regime, the thickness is inversely proportional
to the discontinuity in the pressure, but new terms of purely relativistic
origin are present. Particularizing for a polytropic gas, it is found that the
pure viscous relativistic shock is thicker than its nonrelativistic
counterpart, while the opposite holds for pure heat conduction.
","[{""version"":""v1"",""created"":""Mon, 29 Jul 2002 14:39:08 GMT""},{""version"":""v2"",""created"":""Thu, 8 Aug 2002 19:01:12 GMT""},{""version"":""v3"",""created"":""Wed, 2 Oct 2002 22:17:34 GMT""}]","2008-11-26"
