"astro-ph/0212540","Jonathan Granot","Jonathan Granot and Pawan Kumar","Constraining the Structure of GRB Jets Through the Afterglow Light
  Curves","19 pages, 7 figures; submitted to ApJ in November 2002","Astrophys.J. 591 (2003) 1086-1096","10.1086/375489",,"astro-ph",,"  We investigate the effect that the structure of GRB jets has on the afterglow
light curves for observers located at different viewing angles, $\theta_{obs}$,
from the jet symmetry axis. The largest uncertainty in the jet dynamics is the
degree of lateral energy transfer. Thus, we use two simple models, that make
opposite and extreme assumptions for this point, and calculate the light curves
for an external density that is either homogeneous, or decreases as the square
of the distance from the source. The Lorentz factor and kinetic energy per unit
solid angle are initially taken to be power laws of the angle from the jet
axis. We perform a qualitative comparison between the resulting light curves
and afterglow observations. This constrains the jet structure, and poses
problems for a `universal' jet model, where all GRB jets are assumed to be
intrinsically identical, and differ only by our viewing angle, $\theta_{obs}$.
","[{""version"":""v1"",""created"":""Wed, 25 Dec 2002 19:17:56 GMT""}]","2016-08-30"
"astro-ph/0212541","Vasilii Gvaramadze","V.V.Gvaramadze","Neutron Stars in Supernova Remnants and Beyond","4 pages, to appear in High Energy Processes and Phenomena in
  Astrophysics, Proceedings of IAU Symposium #214, held 5-10 August 2002 in
  Suzhou, China. Edited by Xiangdong Li and Virginia Trimble","High Energy Processes and Phenomena in Astrophysics, IAU
  Symposium, Vol. 214, 2003, X.D.Li, V.Trimble, and Z.R.Wang, eds. (San
  Francisco: ASP), 141-144",,,"astro-ph",,"  We discuss a concept of off-centred cavity supernova explosion as applied to
neutron star/supernova remnant associations and show how this concept could be
used to preclude the anti-humane decapitating the Duck (G5.4-1.2 + G5.27-0.9)
and dismembering the Swan (Cygnus Loop), as well as to search for a stellar
remnant associated with the supernova remnant RCW86.
","[{""version"":""v1"",""created"":""Thu, 26 Dec 2002 12:45:34 GMT""}]","2007-05-23"
"astro-ph/0212542","Jinliang Hou","L. Chen, J.L. Hou, J.J. Wang (Shanghai Astronomical Observatory, CAS,
  China)","On the Galactic Disk Metallicity Distribution from Open Clusters I. New
  Catalogues and Abundance Gradient","32 pages, including 10 figures, 2 tables, table2 is available only
  electronically. Data for both tables included in the source of this
  submission. AJ accepted",,"10.1086/367911",,"astro-ph",,"  In this paper we have compiled two new open cluster catalogues. In the first
one, there are 119 objects with ages, distances and metallicities available,
while in the second one, 144 objects have both absolute proper motion and
radial velocity data, of which 45 clusters also with metallicity data
available. Taking advantages of the large number of objects included in our
sample, we present an iron radial gradient of about -0.063$\pm$0.008 dex/kpc
from the first sample. By dividing clusters into age groups, we show that iron
gradient was steeper in the past, which is consistent with the recent result
from Galactic planetary nebulae data, and also consistent with the inside-out
galactic disk formation scenarios. Based on the cluster sample, we also
discussed the metallicity distribution, cluster kinematics and space
distribution. A disk age-metallicity relation could be implied from those
properties, although we could not give conclusive result from the age
metallicity diagram based on the current sample. More observations are needed
for metal poor clusters.
","[{""version"":""v1"",""created"":""Thu, 26 Dec 2002 14:55:29 GMT""}]","2009-11-07"
"cond-mat/0212595","Shul'man Alexander Ya.","A. Ya. Shul'man (Institute of Radioengineering and Electronics of the
  RAS, Moscow, Russia)","Contribution of One-Time Pair Correlation Function to Kinetic Phenomena
  in Nonequilibrium Gas","6 pages, based on the report presented at the conference ``Progress
  in Nonequilibrium Green's Functions'', Dresden, Germany, 19.-22. August 2002",,"10.1142/9789812705129_0006",,"cond-mat.stat-mech cond-mat.mtrl-sci",,"  It has been established in nineteen seventies that in nonequilibrium case the
pair collisions generate non-zero two-particle correlations which are
non-diagonal in momentum space and give the essential contribution to the
current fluctuations of hot electrons. It is shown here that this correlations
give also a contribution to the collision integral, i.e., to kinetic properties
of nonequilibrium gas. The expression for electron energy loss rate P via
phonons is re-derived in detail from this point of view. The contribution of
the non-diagonal part of the nonequilibrium pair correlator to phonon-electron
collision integral and to P is obtained and explicitly calculated in the
electron temperature approximation. It is shown that these results can be
obtained from stochastic non-linear kinetic equation with Langevin fluctuation
force. Such an approach allows to formulate the simple general conditions under
that a contribution of two-particle correlations might be essential in
kinetics. The contribution obtained does not contain the extra powers of small
gas parameter unlike the equilibrium virial decompositions.
","[{""version"":""v1"",""created"":""Wed, 25 Dec 2002 18:35:47 GMT""}]","2017-08-23"
"cond-mat/0212596","Gordon Baym","George Kavoulakis (Lund) and Gordon Baym (UIUC)","Rapidly rotating Bose-Einstein condensates in anharmonic potentials","5 pages, 5 figures","New Journal of Physics, 5 (2003) 51.1","10.1088/1367-2630/5/1/351",,"cond-mat.stat-mech",,"  Rapidly rotating Bose-Einstein condensates confined in anharmonic traps can
exhibit a rich variety of vortex phases, including a vortex lattice, a vortex
lattice with a hole, and a giant vortex. Using an augmented Thomas-Fermi
variational approach to determine the ground state of the condensate in the
rotating frame -- valid for sufficiently strongly interacting condensates -- we
determine the transitions between these three phases for a
quadratic-plus-quartic confining potential. Combining the present results with
previous numerical simulations of small rotating condensates in such anharmonic
potentials, we delineate the general structure of the zero temperature phase
diagram.
","[{""version"":""v1"",""created"":""Wed, 25 Dec 2002 22:34:47 GMT""}]","2009-11-07"
"cond-mat/0212597","Andrei Derevianko","Andrei Derevianko","Anisotropic pseudo-potential for polarized dilute quantum gases","1 Fig, submitted to Phys. Rev. A","Phys. Rev. A 67, 033607 (2003)","10.1103/PhysRevA.67.033607",,"cond-mat.soft physics.atom-ph",,"  Anisotropic pseudopotential relevant to collisions of two particles polarized
by external field is rigorously derived and its properties are investigated.
Such low-energy pseudopotential may be useful in describing collective
properties of dilute quantum gases, such as molecules polarized by electric
field or metastable $^3P_2$ atoms polarized by magnetic field. The
pseudopotential is expressed in terms of reactance (K--) matrix and derivatives
of Dirac delta-function. In most applications it may be represented as a sum of
traditional spherically-symmetric contact term and anisotropic part. The former
contribution may be parameterized by a generalized scattering length. The
anisotropic part of pseudopotential may be characterized by off-diagonal
scattering length for dipolar interactions and off-diagonal scattering volume
for quadrupolar interactions. Two-body matrix element of the pseudopotential in
a basis of plane waves is also derived.
","[{""version"":""v1"",""created"":""Thu, 26 Dec 2002 00:20:50 GMT""}]","2009-11-07"
"cond-mat/0212598","Yasuhiro Hatsugai","M. Kishi and Y. Hatsugai","Anderson Localization and Polarization",,"Journal of the Physical Society of Japan, Suppl. 2003","10.1143/JPSJS.72SA.147",,"cond-mat.dis-nn",,"  Effects of randomness have supplied fundamental problems in condensed matter
physics and localization due to interference of quantum mechanical electrons
are well studied as the Anderson localization. Although we have well
established understanding of the localization of non-interacting electrons,
information of the correlated electrons with randomness is still missing. It
was mainly due to lack of reliable numerical techniques for the correlated
electrons.
  For the one dimensional correlated systems without randomness, lots of
numerical results are collected by the Density Matrix Renormalization Group
(DMRG) method and consistent understanding with analytical predictions has been
achieved. In this paper, we plan to apply DMRG for the random electron systems
by calculating direct responses of the system with electric field. At first,
random systems without interaction are carefully investigated. Then we try to
treat both of interaction and randomness in one dimensional systems.
","[{""version"":""v1"",""created"":""Thu, 26 Dec 2002 08:39:46 GMT""}]","2015-06-24"
"cond-mat/0212599","Yu. G. Naidyuk","I. K. Yanson, Yu. G. Naidyuk, O. E. Kvitnitskaya, V. V. Fisun, N. L.
  Bobrov, P. N. Chubov, V. V. Ryabovol (ILTPE, Kharkiv), G. Behr (IFW Dresden),
  W. N. Kang, E.-M. Choi, H.-J. Kim, S.-I. Lee (Uni. Pohang), T. Aizawa, S.
  Otani (NIMS Tsukuba), and S.-L. Drechsler (IFW Dresden)","Study of the electron-phonon interaction in metal diborides MeB_2
  (Me=Zr, Nb, Ta, Mg) by point-contact spectroscopy","6 pages, 6 figs., prepared for proceedings of conference ""Modern
  Problem in Superconductivity"", Sept. 2002, Yalta, Ukraine","Modern Physics Letters B, Vol. 17, Nos. 10-12 (2003) 657-666","10.1142/S0217984903005688",,"cond-mat.supr-con cond-mat.mtrl-sci",,"  We review investigations of the electron-phonon interaction (EPI) in metal
diborides MeB_2 (Me=Zr, Nb, Ta, Mg) by point-contact (PC) spectroscopy. For
transition metal compounds the PC EPI functions were recovered and EPI
parameter $\lambda\lesssim 0.1$ were estimated. The data are consistent with
the measured surface phonon dispersion curves. The low $\lambda$ value
questions some reports about superconductivity in these compounds. Contrary,
EPI in superconducting MgB_2 films manifests also in the PC spectra itself by
virtue of an elastic EPI contribution to the excess current determined by the
energy dependence of the superconducting order parameter. To analyse the phonon
features in the PC spectra of MgB$_2$ a two-band model is exploited and the
proximity effect in the {\bf k}-space is suggested.
","[{""version"":""v1"",""created"":""Thu, 26 Dec 2002 08:51:59 GMT""}]","2009-11-07"
"cond-mat/0212600","Dmitry A. Mashchenko","M.I. Bagatskii, V.G. Manzhelii, I.Ya. Minchina, D.A. Mashchenko, I.A.
  Gospodarev","Rotational excitations in concentrated solid Kr-CH4 solutions.
  Calorimetric studies","29 pages, 8 figures, 3 tables","Journal of Low Temperature physics, Vol.130, Nos. 5/6, 459-475,
  March 2003","10.1023/A:1022463618264",,"cond-mat.mtrl-sci",,"  The heat capacity of solid Kr-CH4 solutions with 30 and 60 mol.% CH4 has been
studied at 0.8-20 K. The contribution of the rotational subsystem Crot to the
heat capacity of the solutions is separated. The results obtained in this study
and Ref. [4] were used to estimate the difference between the lowest-level
energies of the nuclear spin A and T modifications of CH4 and to find the
characteristic conversion times for the solutions with 5-60 mol.% CH4 at low
temperatures.
","[{""version"":""v1"",""created"":""Thu, 26 Dec 2002 10:40:37 GMT""}]","2016-09-07"
"cond-mat/0212601","Dietrich Stauffer","Dietrich Stauffer, Amnon Aharony, Luciano da Fontoura Costa, and Joan
  Adler","Efficient Hopfield pattern recognition on a scale-free neural network","8 pages including 4 figures",,"10.1140/epjb/e2003-00114-7",,"cond-mat.stat-mech q-bio.NC",,"  Neural networks are supposed to recognise blurred images (or patterns) of $N$
pixels (bits) each. Application of the network to an initial blurred version of
one of $P$ pre-assigned patterns should converge to the correct pattern. In the
""standard"" Hopfield model, the $N$ ""neurons'' are connected to each other via
$N^2$ bonds which contain the information on the stored patterns. Thus computer
time and memory in general grow with $N^2$. The Hebb rule assigns synaptic
coupling strengths proportional to the overlap of the stored patterns at the
two coupled neurons. Here we simulate the Hopfield model on the Barabasi-Albert
scale-free network, in which each newly added neuron is connected to only $m$
other neurons, and at the end the number of neurons with $q$ neighbours decays
as $1/q^3$. Although the quality of retrieval decreases for small $m$, we find
good associative memory for $1 \ll m \ll N$. Hence, these networks gain a
factor $N/m \gg 1$ in the computer memory and time.
","[{""version"":""v1"",""created"":""Thu, 26 Dec 2002 14:16:57 GMT""},{""version"":""v2"",""created"":""Thu, 2 Jan 2003 16:11:45 GMT""}]","2009-11-07"
