"astro-ph/0202286","Yong-Seon Song","Lloyd Knox and Yong-Seon Song (UC Davis)","A limit on the detectability of the energy scale of inflation","4 pages, 3 figures, submitted to PRL","Phys.Rev.Lett. 89 (2002) 011303","10.1103/PhysRevLett.89.011303",,"astro-ph hep-ph",,"  We show that the polarization of the cosmic microwave background can be used
to detect gravity waves from inflation if the energy scale of inflation is
above 3.2 times 10^15 GeV. These gravity waves generate polarization patterns
with a curl, whereas (to first order in perturbation theory) density
perturbations do not. The limiting ``noise'' arises from the second--order
generation of curl from density perturbations, or rather residuals from its
subtraction. We calculate optimal sky coverage and detectability limits as a
function of detector sensitivity and observing time.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 19:02:21 GMT""}]","2009-11-07"
"astro-ph/0202289","Ben Sugerman","Ben E. K. Sugerman, Stephen S. Lawrence, Arlin P. S. Crotts, Patrice
  Bouchet, and Steve R. Heathcote","Evolution and Geometry of Hot Spots in Supernova Remnant 1987A","Accepted for publication in the Astrophysical Journal (tentative
  publication date June 10, 2002); 44 pages, 11 figures",,"10.1086/340294",,"astro-ph",,"  We present ground-based near-infrared imaging and {\em HST} optical imaging
and spectroscopy of the interaction between the ejecta of SN 1987A and its
equatorial circumstellar ring. This interaction has made a transition, from
emission originating in just a few ``hot spots'' at restricted locations in
position angle around the ring, to a collision producing optical emission over
a nearly continuous distribution, with few breaks larger than 45 degrees. The
centroids of the first three spots are measured to move at 2000-3000 km/s,
which we interpret as a lower limit of the velocity of the forward blast front.
Multi-wavelength light curves of the spots show that they do not evolve
uniformly, and change significantly on timescales as short as one month; in
particular the first spot shows a significant break in its lightcurve.
Implications of observed delays between spots appearances are discussed, which
leads to a generalized model of hot spot evolution, and suggests that the early
appearance of the first hot spot is explained by its inward radial position and
a fairly uniform forward blast wave, rather than extraordinary physical
circumstances. Data further suggest that the forward blast is reaching the bulk
of the inner ring material to the east, the density of which appears higher
than elsewhere in the ring. We study the ring geometry, finding evidence
suggestive of an intrinsic ellipticity of 0.95, and find lower and upper
distance limits of 47.9 +/- 0.92 kpc and 54.4 +/- 2.1 kpc, respectively.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 19:15:51 GMT""}]","2009-11-07"
"astro-ph/0202304","Adrienne M. Juett","Adrienne M. Juett, Herman L. Marshall, Deepto Chakrabarty, & Norbert
  S. Schulz","Chandra High-Resolution Spectrum of the Anomalous X-ray Pulsar 4U
  0142+61","4 pages including 4 figures. Accepted for publication in ApJ Letters",,"10.1086/340273",,"astro-ph",,"  We report on a 25 ks observation of the 8.7 s anomalous X-ray pulsar
4U~0142+61 with the High Energy Transmission Grating Spectrometer (HETGS) on
the Chandra X-ray Observatory. The continuum spectrum is consistent with
previous measurements and is well fit by an absorbed power-law + blackbody with
photon index Gamma=3.3+/-0.4 and kT=0.418+/-0.013 keV. No evidence was found
for emission or absorption lines, with an upper limit of ~50 eV on the
equivalent width of broad features in the 2.5-13 A (0.95-5.0 keV) range and an
upper limit of ~10 eV on the equivalent width of narrow features in the
4.1-17.7 A (0.7-3.0 keV) range. If the source is a magnetar, then the absence
of a proton cyclotron line strongly constrains magnetar atmosphere models and
hence the magnetic field strength of the neutron star. We find no strong
features that are indicative of cyclotron absorption for magnetic field
strengths of (1.9-9.8)x10^{14} G. This is still consistent with the dipole
field strength of B=1.3x10^{14} G (at the polar cap) estimated from the
pulsar's spindown.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 16:13:49 GMT""}]","2009-11-07"
"astro-ph/0202305","Ronald A. Remillard","Ronald A. Remillard, Michael P. Muno (MIT), Jeffrey E. McClintock
  (CFA), and Jerome A. Orosz (Utrecht)","Evidence for Harmonic Relationships in the High Frequency QPOs of XTE
  J1550-564 and GRO J1655-40","31 pages, including 9 figures and 1 Table; submitted to The ApJ","Astrophys.J. 580 (2002) 1030-1042","10.1086/343791",,"astro-ph",,"  We continue to investigate the X-ray timing and spectral properties of the
black hole binary, XTE J1550-564. For three different groups of observations,
we show evidence that two high-frequency QPOs (HFQPOs) occur simultaneously
near 184 and 276 Hz. In one group, there is also evidence of a broad feature at
92 Hz. In each case, we can model the QPO profiles while assuming that the
central frequencies are related as integral harmonics of a single frequency. We
next investigate the X-ray energy spectra, and we find a systematic increase in
the strength of the power-law component as the stronger of the two HFQPOs
shifts from 276 to 184 Hz. A strikingly similar result is seen for GRO J1655-40
when the stronger HFQPO shifts from 450 to 300 Hz. The fundamental HFQPO
frequencies for the two X-ray sources scale inversely with black hole mass,
which is consistent with the hypotheses that these HFQPOs represent some
oscillation rooted in general relativity (GR) and that the two black holes have
similar values of the dimensionless spin parameter. We discuss physical
mechanisms that may explain these HFQPOs. In particular, a resonance between
the orbital and radial coordinate frequencies in the innner accretion disk, as
proposed by Abramowicz & Kluzniak, would imply moderate values for the
dimensionless spin parameter (0.1 < a < 0.6) for both black holes.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 17:58:59 GMT""}]","2009-11-07"
"astro-ph/0202306","Rob Ivison","Gillian Wright, Rob Ivison, Peter Hastings, Martyn Wells, Ray
  Sharples, Jeremy Allington-Smith, Robert Content (ATC, Edinburgh; Durham)","Multiple Integral Field Spectroscopy","8 pages, 5 colour figures. To be published in the Proceedings of the
  ESO Workshop Scientific Drivers for ESO Future VLT/VLTI Instrumentation",,"10.1007/10857019_19",,"astro-ph",,"  Integral-field spectroscopy is the most effective method of exploiting the
superb image quality of the ESO-VLT, allowing complex astrophysical processes
to be probed on the angular scales currently accessible only for imaging data,
but with the addition of information in the spectral dimension. We discuss
science drivers and requirements for multiple deployable integral fields for
spectroscopy in the near-infrared. We then describe a fully modular instrument
concept which can achieve such a capability over a 5-10' field with up to 32
deployable integral fields, each fully cryogenic with 1-2.5 micron coverage at
a spectral resolution of ~3000, each with a 4"" x 4"" field of view sampled at
0.2""/pixel to take advantage of the best K-band seeing.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 18:23:33 GMT""}]","2009-11-07"
"astro-ph/0202307","Alister W. Graham","Alister W. Graham","Evidence for an outer disk in the Prototype `Compact Elliptical' Galaxy
  M32","Accepted for publication in ApJ Letters","Astrophys.J. v.568, L13 (2002)","10.1086/340274",,"astro-ph",,"  M32 is the prototype for the relatively rare class of galaxies referred to as
`compact ellipticals'. It has been suggested that M32 may be a tidally
disturbed r^(1/4) elliptical galaxy, or the remnant bulge of a disk-stripped
early-type spiral galaxy. This paper reveals that the surface brightness
profile, the velocity dispersion measurements, and the estimated supermassive
black hole mass in M32 are inconsistent with the galaxy having, and probably
ever having had, an r^(1/4) light profile. Instead, the radial surface
brightness distribution of M32 resembles an almost perfect (bulge + exponential
disk) profile, which is accompanied by a marked increase in the ellipticity
profile and an associated change in the position angle profile where the `disk'
starts to dominate. Compelling evidence that this bulge/disk interpretation is
accurate comes from the best-fitting r^(1/n) bulge model which has a Sersic
index n=1.5, in agreement with the recently discovered relation between a
bulge's Sersic index and the mass of its supermassive black hole. An index n>4
would also be inconsistent with the stellar velocity dispersion of M32. The
bulge-to-disk size ratio r_e /h equals 0.20, and the logarithm of the
bulge-to-disk luminosity ratio log(B/D) equals 0.22, typical of lenticular
galaxies. The effective radius of the bulge is 27"" (~100 pc), while the
scale-length of the disk is less well determined: due to possible tidal-
stripping of the outer profile beyond 220-250"", the scale-length may be as
large as 1.3 kpc. M32 is a relatively face-on, nucleated, dwarf galaxy with a
low surface brightness disk and a high surface brightness bulge. This finding
brings into question the existence of the compact elliptical class of galaxies.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 19:16:37 GMT""}]","2012-04-26"
"astro-ph/0202309","Stephen Holland","Stephen T. Holland (1), I. Soszynski (2), Michael D. Gladders (3), L.
  F. Barrientos (4), P. Berlind (5), David Bersier (5), Peter M. Garnavich (1),
  Saurabh Jha (5) and K. Z. Stanek (5) ((1) Notre Dame, (2) Warsaw University
  Observatory, (3) Carnegie Observatories, (4) Pontificia Universidad Catolica
  de Chile, (5) Harvard-Smithsonian CfA)","The Optical Afterglow of GRB 011211","17 pages, 4 figures, AASTeX 5.02, to appear in AJ Referee's report
  incorporated, minor changes in the text","Astron.J. 124 (2002) 639-645","10.1086/341388",,"astro-ph",,"  We present early-time optical photometry and spectroscopy of the optical
afterglow of the gamma-ray burst GRB 011211. The spectrum of the optical
afterglow contains several narrow metal lines which are consistent with the
burst occurring at a redshift of 2.140 +/- 0.001. The optical afterglow decays
as a power law with a slope of alpha = 0.83 +/- 0.04 for the first
approximately two days after the burst at which time there is evidence for a
break. The slope after the break is at least 1.4. There is evidence for rapid
variations in the R-band light approximately 0.5 days after the burst. These
variations suggest that there are density fluctuations near the gamma-ray burst
on spatial scales of approximately 40--125 AU. The magnitude of the break in
the light curve, the spectral slope, and the rate of decay in the optical,
suggest that the burst expanded into an ambient medium that is homogeneous on
large scales. We estimate that the local particle density is between
approximately 0.1 and 10 cm^{-3} and that the total gamma-ray energy in the
burst was 1.2--1.9 x 10^{50} erg. This energy is smaller than, but consistent
with, the ``standard'' value of (5 +/- 2) x 10^{50} erg. Comparing the observed
color of the optical afterglow with predictions of the standard beaming model
suggests that the rest-frame V-band extinction in the host galaxy is less than
approximately 0.03 mag.
","[{""version"":""v1"",""created"":""Fri, 15 Feb 2002 22:09:39 GMT""},{""version"":""v2"",""created"":""Wed, 24 Apr 2002 19:13:47 GMT""}]","2009-11-07"
"astro-ph/0202310","Jing Xu","J. Xu, J. J. Bock, K. M. Ganga, V. Gorjian, K. Uemizu, M. Kawada, A.
  E. Lange, T. Matsumoto, T. Watabe","Meausurement of Sky Suface Brightness Fluctuations at lambda = 4 micron","25 pages, 7 figures, 1 table, accepted by ApJ, figure 7 modified,
  figure 8 added","Astrophys.J. 580 (2002) 653-662","10.1086/343854",,"astro-ph",,"  We present a Monte-Carlo technique to probe the cosmic Infrared background
radiation (CIB) with faint source confusion in deep, wide-field 4 micron
images. We report a detection of surface brightness fluctuations using an
ensemble of 5000 pixels. The brightness fluctuations do not show correlated
structure and appear to be dominated by galaxies. We estimate a lower limit
(95% C.L.) on CIB by modeling the number-count behavior of contributing sources
to the detected fluctuations.
","[{""version"":""v1"",""created"":""Sat, 16 Feb 2002 00:40:40 GMT""},{""version"":""v2"",""created"":""Wed, 13 Mar 2002 22:39:14 GMT""},{""version"":""v3"",""created"":""Mon, 18 Nov 2002 07:24:47 GMT""}]","2009-11-07"
"astro-ph/0202311","Niel Brandt","W.N. Brandt, D.M. Alexander, F.E. Bauer, A.E. Hornschemeier (PSU)","The Chandra Deep Field-North Survey and the Cosmic X-ray Background","16 pages; Philosophical Transactions of the Royal Society (Series A:
  Mathematical, Physical, and Engineering Sciences), submitted; High-resolution
  version of Figure 5 available at
  http://www.astro.psu.edu/users/niel/hdf/hdf-chandra.html","Phil.Trans.Roy.Soc.Lond. A360 (2002) 2057-2076","10.1098/rsta.2002.1053",,"astro-ph",,"  Chandra has performed a 1.4 Ms survey centred on the Hubble Deep Field-North
(HDF-N), probing the X-ray Universe 55-550 times deeper than was possible with
pre-Chandra missions. We describe the detected point and extended X-ray sources
and discuss their overall multiwavelength (optical, infrared, submillimeter,
and radio) properties. Special attention is paid to the HDF-N X-ray sources,
luminous infrared starburst galaxies, optically faint X-ray sources, and
high-to-extreme redshift AGN. We also describe how stacking analyses have been
used to probe the average X-ray emission properties of normal and starburst
galaxies at cosmologically interesting distances. Finally, we discuss plans to
extend the survey and argue that a 5-10 Ms Chandra survey would lay key
groundwork for future missions such as XEUS and Generation-X.
","[{""version"":""v1"",""created"":""Sat, 16 Feb 2002 03:31:48 GMT""}]","2009-11-07"
"astro-ph/0202312","Tomaz Zwitter","Tomaz Zwitter","GAIA accuracy on radial velocities assessed from a synthetic spectra
  database","accepted for publication in Astronomy and Astrophysics, 8 pages, 4
  figures",,"10.1051/0004-6361:20020250",,"astro-ph",,"  Spectrograph aboard the GAIA satellite operates in the near-IR, in the 8490--
8740 \AA window accessible also from the ground. The most important parameter
yet to be determined is the spectral resolution. Realistic estimates of the
zodiacal light background are obtained and a total of $2\times 10^5$
correlation runs are used to study the accuracy of radial velocity measured by
the spectrograph as a function of resolution, magnitude of the target, its
spectral type and luminosity class. Accuracy better than 2 km/s is achievable
for bright stars if a high enough dispersion is chosen. Radial velocity error
of 5 km/s is at $V=17.5$ for Cepheids and at 17.7 for horizontal branch stars.
Even for very faint objects, with spectra dominated by background and readout
noise, the optimal dispersion is still in the 0.25 / 0.75 \AA/pix range. This
is also true for complicated cases such as spectroscopic binaries or if
information other than radial velocity, i.e. abundances of individual elements
or stellar rotation velocity, is sought after. The results can be scaled to
assess performance of future ground based instruments.
","[{""version"":""v1"",""created"":""Sat, 16 Feb 2002 12:40:45 GMT""},{""version"":""v2"",""created"":""Tue, 19 Feb 2002 17:46:06 GMT""}]","2009-11-07"
"astro-ph/0202313","Mats Carlsson","Mats Carlsson and Robert F. Stein","Dynamic Hydrogen Ionization","28 pages, 8 figures, accepted for publication in Astrophysical
  Journal",,"10.1086/340293",,"astro-ph",,"  We investigate the ionization of hydrogen in a dynamic Solar atmosphere. We
show that the time scale for ionization/recombination can be estimated from the
eigenvalues of a modified rate matrix where the optically thick Lyman
transitions that are in detailed balance have been excluded. We find that the
time scale for ionization/recombination is dominated by the slow collisional
leakage from the ground state to the first excited state. Throughout the
chromosphere the time scale is long ($10^3$-$10^5$ s), except in shocks where
the increased temperature and density shorten the time scale for
ionization/recombination, especially in the upper chromosphere. Because the
relaxation time scale is much longer than dynamic time scales, hydrogen
ionization does not have time to reach its equilibrium value and its
fluctuations are much smaller than the variation of its statistical equilibrium
value appropriate for the instantaneous conditions. The ionization state tends
to represent the higher temperature of the shocks, and the mean electron
density is up to a factor of six higher than the electron density calculated in
statistical equilibrium from the mean atmosphere. The simulations show that a
static picture and a dynamic picture of the chromosphere are fundamentally
different and that time variations are crucial for our understanding of the
chromosphere itself and the spectral features formed there.
","[{""version"":""v1"",""created"":""Sat, 16 Feb 2002 13:10:18 GMT""}]","2016-08-30"
