"astro-ph/0211626",,"Daniela Carturan, Fabio Finelli","Cosmological Effects of a Class of Fluid Dark Energy Models","4 pages, 6 figures","Phys.Rev. D68 (2003) 103501","10.1103/PhysRevD.68.103501",,"astro-ph gr-qc hep-ph hep-th",,"  We study the impact of a generalized Chaplygin gas as a candidate for dark
energy on CMB anisotropies. The generalized Chaplygin gas is a fluid component
with an exotic equation of state, $p = - A/\rho^\alpha$ (a polytropic gas with
negative constant and exponent). Such component interpolates in time between
dust and a cosmological constant, with an intermediate behaviour as $p=\alpha
\rho$. Perturbations of this fluid are stable on small scales, but behave in a
very different way with respect to standard quintessence. Moreover, a
generalized Chaplygin gas could also represent an archetypal example of a
phenomenological unified models of dark energy and dark matter. The results
presented here show how the CMB anisotropies induced by this class of models
differ from a $\Lambda$CDM model.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 17:25:34 GMT""}]","2009-11-07"
"astro-ph/0211629","Hubert Klahr","Hubert Klahr (1,2) and Peter Bodenheimer (1) ((1)UCO/Lick Observatory,
  (2)Computational Physics, Institut fuer Astronomie und Astrophysik,
  Universitaet Tuebingen, Germany)","Turbulence in Accretion Disks. Vorticity Generation and Angular Momentum
  Transport via the Global Baroclinic Instability","49 pages with 22 figures, Accepted for ApJ, January 2003 high res.
  figures at: http://www.mpia.de/homes/klahr","Astrophys.J. 582 (2003) 869-892","10.1086/344743",,"astro-ph",,"  In this paper we present the global baroclinic instability as a source for
vigorous turbulence leading to angular momentum transport in Keplerian
accretion disks. We show by analytical considerations and three-dimensional
radiation hydro simulations that, in particular, protoplanetary disks have a
negative radial entropy gradient, which makes them baroclinic. Two-dimensional
numerical simulations show that a baroclinic flow is unstable and produces
turbulence. These findings are tested for numerical effects by performing a
simulation with a barotropic initial condition which shows that imposed
turbulence rapidly decays. The turbulence in baroclinic disks transports
angular momentum outward and creates a radially inward bound accretion of
matter. Potential energy is released and excess kinetic energy is dissipated.
Finally the reheating of the gas supports the radial entropy gradient, forming
a self consistent process. We measure accretion rates in our 2D and 3D
simulations of dotM= - 1E-9 - 1E-7 Msun/yr and viscosity parameters of alpha =
1E-4 - 1E-2, which fit perfectly together and agree reasonably with
observations. The turbulence creates pressure waves, Rossby waves, and vortices
in the R-phi plane of the disk. We demonstrate in a global simulation that
these vortices tend to form out of little background noise and to be
long-lasting features, which have already been suggested to lead to the
formation of planets.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 16:37:32 GMT""}]","2009-11-07"
"astro-ph/0211630","Q. Daniel Wang","Q. Daniel Wang","Studying the Nearby Universe with Chandra","Based on an overview talk presented at the IAU Symposium No.214: High
  Energy Processes and Phenomena in Astrophysics (in press). A complete ps file
  with high-resolution images can be obtained from
  http://www.astro.umass.edu/~wqd/papers/talk_IAU214.ps",,,,"astro-ph",,"  I highlight results from Chandr observations of nearby galaxies, including
the Milky Way. These observations have offered insights into old mysteries and
indications of new high energy astrophysical phenomena and processes that are
yet to be understood.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 17:08:33 GMT""}]","2007-05-23"
"astro-ph/0211631","David R. Ballantyne","D.R. Ballantyne (1,2), A.C. Fabian (1), S. Vaughan (1) ((1) IoA,
  Cambridge (2) CITA, Toronto)","Ionized Disc Models of MCG-6-30-15","2 pages, 1 figure. To be published in ""Active Galactic Nuclei: from
  Central Engine to Host Galaxy"", ed. S. Collin, F. Combes, and I. Shlosman",,,,"astro-ph",,"  Ionized reflection is one of the possible mechanisms proposed to explain the
small short-timescale variability of the MCG-6-30-15 Fe K line. In this
contribution, we show fits of the Ross & Fabian ionized reflection models to
the 325 ks XMM-Newton observation of MCG--6-30-15. It is found that the
spectrum above 2.5 keV can be fitted with a combination of an ionized reflector
from 5 r_g and a neutral reprocessor beyond about 70 r_g. The ionization
parameter of the inner reflector increases as the source brightens.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 17:49:08 GMT""}]","2007-05-23"
"astro-ph/0211632","Buenerd","Yong Liu, L. Derome, and M. Buenerd","Atmospheric neutrino flux from 3-dimensional simulation","33 pages, 27 figures, 12 tables, final version for Phys. Rev. D","Phys.Rev.D67:073022,2003","10.1103/PhysRevD.67.073022",,"astro-ph hep-ph",,"  The atmospheric muon and neutrino flux have been simulated using the same
approach which successfully accounted for the recent secondary proton, electron
and positron flux measurements in orbit by the AMS experiment. For the muon
flux, a good agreement is obtained with the CAPRICE and HEAT data for altitudes
ranging from sea level up to about 38 km. The general features of the
calculated atmospheric neutrino flux are reported and discussed. The flux
obtained at the Super-Kamiokande experiment location are reported and compared
with other calculations. For low neutrino energies the flux obtained is
significantly smaller than that used in the data analysis of underground
experiment. The simulation results for the SOUDAN experiment site are also
reported.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 18:30:30 GMT""},{""version"":""v2"",""created"":""Mon, 10 Mar 2003 21:54:10 GMT""}]","2014-10-13"
"astro-ph/0211633","Henk Hoekstra","H. Hoekstra, M. Franx, K. Kuijken, R.G. Carlberg and H.K.C. Yee","Lensing by galaxies in CNOC2 fields","accepted for publication in MNRAS 15 pages",,"10.1046/j.1365-8711.2003.06350.x",,"astro-ph",,"  We have observed two blank fields of approximately 30 by 23 arcminutes using
the William Herschel Telescope. The fields have been studied as part of the
CNOC2 survey, and spectroscopic redshifts are available for 1125 galaxies in
the two fields. We measured the lensing signal caused by large scale structure,
and found that the result is consistent with current, more accurate
measurements. We study the galaxy-galaxy lensing signal of three overlapping
samples of lenses, and detect a significant signal in all cases. The estimates
for the velocity dispersion of an L* galaxy agree well for the various samples.
The best fit singular isothermal sphere model to the ensemble averaged
tangential distortion around the galaxies with redshifts yields a velocity
dispersion of \sigma_*=130^{+15}_{-17} km/s, in good agreement with other
studies. We use a maximum likelihood analysis, where a parameterized mass model
is compared to the data, to study the extent of galaxy dark matter halos.
Making use of all available data, we find \sigma_*=111\pm12 km/s (68.3%
confidence) for a truncated isothermal sphere model in which all galaxies have
the same mass-to-light ratio. The value of the truncation parameter is not
constrained that well, and we find s_*=260^{+124}_{-73} h^{-1} kpc (68.3%
confidence The galaxy-galaxy lensing analysis allows us to estimate the average
mass-to-light ratio of the field, which can be used to estimate \Omega_m. The
current result, however, depends strongly on the assumed scaling relation for
s.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 18:49:25 GMT""}]","2009-11-07"
"astro-ph/0211634","Anjan Ananda Sen","S.Sen and A.A.Sen","Observational Constraints on Cardassian Expansion","Typos and some confusion with the notations corrected. Accepted for
  publication in The Astrophysical Journal","Astrophys.J. 588 (2003) 1-6","10.1086/373900",,"astro-ph gr-qc hep-ph",,"  In this work, we have studied the observational constraints on the Cardassian
Model for the dark energy. We have compared the model with existing Supernova
data. The dependence of the location of the Cosmic Microwave Background
Radiation (CMBR) peaks on the parameters of the model have also been studied.
We find, in particular, that observational data arising from Archeops for the
location of the first peak, BOOMERANG for the location of the third peak,
together with the Supernova data, constrain significantly the parameter space.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 19:31:21 GMT""},{""version"":""v2"",""created"":""Mon, 9 Dec 2002 15:24:15 GMT""},{""version"":""v3"",""created"":""Wed, 15 Jan 2003 15:04:59 GMT""}]","2009-11-07"
"astro-ph/0211635","Christian Marois","C. Marois (1), D. Nadeau (1), R. Doyon (1), R. Racine (1) and G. A. H.
  Walker (2) ((1) Universite de Montreal, (2) University of British Columbia)","Differential Simultaneous Imaging and Faint Companions: TRIDENT First
  Results from CFHT","4 pages, 1 figure, to appear in IAU Symposium, Vol. 211, E. L.
  Martin, ed",,,,"astro-ph",,"  We present the first results obtained at CFHT with the TRIDENT infrared
camera, dedicated to the detection of faint companions close to bright nearby
stars. Its main feature is the acquisition of three simultaneous images in
three wavelengths (simultaneous differential imaging) across the methane
absorption bandhead at 1.6 micron, that enables a precise subtraction of the
primary star PSF while keeping the companion signal. Thirty-five stars have
been observed in two observing missions, with no detection so far. It is shown
that a faint companion with a DeltaH of 10 magnitudes would be detected at 0.5
arcsec from the primary.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 19:46:24 GMT""}]","2007-05-23"
"astro-ph/0211636","Christian Marois","C. Marois (1), D. Nadeau (1), R. Doyon (1), R. Racine (1) and G. A. H.
  Walker (2) ((1) Universite de Montreal, (2) University of British Columbia)","Searching for Faint Companions with the TRIDENT Differential
  Simultaneous Imaging Camera","4 pages, 3 figures, to appear in Scientific Frontiers in Research on
  Extrasolar Planets, ASP Conference Series, D. Deming and S. Seager, eds",,,,"astro-ph",,"  We present the first results obtained at CFHT with the TRIDENT infrared
camera, dedicated to the detection of faint companions close to bright nearby
stars. Its main feature is the acquisition of three simultaneous images in
three wavelengths (simultaneous differential imaging) across the methane
absorption bandhead at 1.6 micron, that enables a precise subtraction of the
primary star PSF while keeping the companion signal. Gl229 and 55Cnc
observations are presented to demonstrate TRIDENT subtraction performances. It
is shown that a faint companion with a DeltaH of 10 magnitudes would be
detected at 0.5 arcsec from the primary.
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 20:53:38 GMT""}]","2007-05-23"
"astro-ph/0211637","Nissim Kanekar","Nissim Kanekar (1), Jayaram N Chengalur (2) ((1) Kapteyn Astronomical
  Institute, The Netherlands (2) National Centre for Radio Astrophysics (TIFR),
  India)","A deep search for 21cm absorption in high redshift damped Lyman-$\alpha$
  systems","13 pages, 5 figures. Accepted for publication in Astronomy &
  Astrophysics","Astron.Astrophys.399:857,2003","10.1051/0004-6361:20021922",,"astro-ph",,"  We present deep GMRT 21cm absorption spectra of 10 damped Lyman-$\alpha$
systems (DLAs), of which 8 are at redshifts $z \ga 1.3$. HI absorption was
detected in only one DLA, the $z = 0.5318$ absorber toward PKS 1629+12, which
has been identified with a luminous spiral galaxy; the spin temperature limit
($T_s \le 310$ K) derived from our observations continues the trend of DLAs
associated with bright spirals having low spin temperatures. In 7 of the
remaining 9 systems, the observations place strong lower limits on the spin
temperature of the HI gas.
  The sample of DLAs searched for 21cm absorption now consists of 31 systems,
with $T_s$ estimates available in 24 cases; of these, 16 are at $z < 2$ and 8
at $z > 2$, with 11 (all at $z < 1$) having optical IDs. For the latter 11
systems, we find that all low $T_s$ DLAs have been identified with luminous
galaxies, while all high $T_s$ ($T_s \ga 1000$ K) DLAs have been identified
with either LSBs or dwarfs. DLA spin temperatures thus appear to correlate with
galaxy type, with no correlation seen between $T_s$ and impact parameter.
  The trend that low $z$ DLAs exhibit both high and low $T_s$ values while high
redshift ($z \ga 3$) DLAs only show high spin temperatures is present in this
expanded data set. Based on this difference in spin temperatures, the Gehan
test rules out the hypothesis that DLAs at $z > 2$ and DLAs at $z < 2$ are
drawn from the same parent population at ~ 99 % confidence level.
  Finally, we estimate upper limits on the fraction of cold HI, $f_{CNM}$, in
the $z \ga 3$ DLAs. In local spirals, $f_{CNM} \sim 0.5$; in contrast, we find
that $f_{CNM} < 0.3$ in all 7 high $z$ DLAs, with $f_{CNM} < 0.1$ in 5 of the 7
cases. (abridged)
","[{""version"":""v1"",""created"":""Thu, 28 Nov 2002 20:51:54 GMT""}]","2008-11-26"
"astro-ph/0211639","Eduardo de la Fuente Acosta","Eduardo de la Fuente, Margarita Rosado, Lorena Arias, Patricia
  Ambrocio-Cruz & Henry B. Throop","Protoplanetary Disks in the Orion Nebula: An H$\alpha$ Fabry-Perot study
  and Astrobiological Aspects","to appear in proceedings of the STScI Symposium ``Astrophysics of
  Life'' 6-9 May, 2002",,,,"astro-ph",,"  In this paper, we present a briefly overview of the protoplanetary disks in
the Orion Nebula, incluiding some astrobiological aspects and an H$\alpha$
Fabry-Perot study of 16 of them. We found that Fabry-Perot interferometry
constitutes an effective technique for the detection of proplyds. We also
report heliocentric systemic velocities for the proplyds 82-336, 158-323,
158-326, 159-350, 161-314, 161-324, 163-317, 166-316, 167-317, 168-326,
170-337, 176-325, 177-341, 180-331, 197-427 and 244-440. The velocities were
measured between 22-38 km s$^{-1}$.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 01:44:48 GMT""}]","2007-05-23"
"astro-ph/0211640","Satoko Osone","S.Osone and M.Teshima (ICRR)","Long periodicity of Blazar with RXTE ASM, TA and HEGRA","7 pages, 11 figures, To appear in 'The Universe Viewed in Gamma-Rays'",,,,"astro-ph",,"  Long periodicity for Mkn501 during a large flare in 1997 have been reported
by TA, HEGRA group. Here, we establish this periodicity with archival data of
RXTE All Sky Monitor(ASM), Telescope Array(TA) and HEGRA with a chance
probability less than $10^{-5}$. We also find that an origin of 23 day
periodicity is related with a change of either a gamma factor of electrons
$\gamma$ or the magnetic field or a beaming factor. And, in order to search for
a category which have a long periodicity, we make a periodicity analysis for
ten H.B.L. with RXTE ASM. We find a long periodicity for three TeV detected
source, Mkn501, Mkn421 and PKS2155-304. There may exist a relation between an
origin of a long periodicity and an electron acceleration to a TeV range.
","[{""version"":""v1"",""created"":""Fri, 29 Nov 2002 06:34:48 GMT""},{""version"":""v2"",""created"":""Mon, 15 Mar 2004 07:13:44 GMT""}]","2007-05-23"
