"astro-ph/0210617","Dan Hooper","Dan Hooper and Brenda Dingus","Limits on Supersymmetric Dark Matter From EGRET Observations of the
  Galactic Center Region","4 pages, 3 figures","Phys.Rev. D70 (2004) 113007","10.1103/PhysRevD.70.113007","MAD-PH-02-1310, LAUR-02-6743","astro-ph hep-ph",,"  In most supersymmetic models, neutralino dark matter particles are predicted
to accumulate in the Galactic center and annihilate generating, among other
products, gamma rays. The EGRET experiment has made observations in this
region, and is sensitive to gamma rays from 30 MeV to $\sim$30 GeV. We have
used an improved point source analysis including an energy dependent point
spread function and an unbinned maximum likelihood technique, which has allowed
us to significantly lower the limits on gamma ray flux from the Galactic
center. We find that the present EGRET data can limit many supersymmetric
models if the density of the Galactic dark matter halo is cuspy or spiked
toward the Galactic center. We also discuss the ability of GLAST to test these
models.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 19:24:14 GMT""}]","2009-11-07"
"astro-ph/0210630","Liliya L. R. Williams","Liliya L.R. Williams (1), Natalie Frey (1 and 2) ((1) UMinn, (2) U
  Central FL)","Angular Distribution of Gamma-ray Bursts and Weak Lensing","29 pages, incl 8 figs and 1 table; accepted to ApJ","Astrophys.J.583:594-605,2003","10.1086/345470",,"astro-ph",,"  We investigate whether Gamma-Ray Bursts (GRBs) from the Current BATSE Catalog
have been affected by weak lensing by the nearby large scale structure. The
redshift distribution of GRBs is believed to be broad, extending to z~5, so
most events can be assumed to be at large redshifts, and hence subject to weak
lensing, which would betray itself as projected (anti-)correlations between GRB
events and galaxies or clusters that trace the intervening mass. Given the
observed distribution of GRBs in fluence, and statistical positional error, e,
we predict that most subsets drawn from BATSE Catalog will be anti-correlated
with the foreground structure due to weak lensing, i.e. will show negative
magnification bias. We find that GRBs are indeed anti-correlated with the APM
galaxies (z~0.2-0.3) in the sense that galaxy density in circles of radii 1-1.5
deg (15-20 Mpc at z~0.3) centered on e<1 GRBs is about 10% lower than expected
from a random distribution; the significance of GRB-APM anti-correlations
reaches 99.7%. Cross-correlation between GRBs and distant rich
Abell-Corwin-Olowin clusters is also negative. Standard cosmological models
with Omega_matter ~ 0.3, Omega_Lambda ~ 0.7, and matter distribution on large
scales following observed APM galaxy distribution with the biasing parameter of
around 1 are not able to reproduce our GRB-APM anti-correlations. We propose a
speculative model that does account for these anti-correlations as well as
positive correlations found previously, between QSOs and APM galaxies. We
briefly discuss if the proposed scheme is in conflict with observations of
cosmic microwave background, galaxy surveys, cosmic velocity flows, and weak
shear lensing.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 17:00:22 GMT""}]","2011-07-19"
"astro-ph/0210631","Tsvi Piran","Ehud Nakar, Tsvi Piran and Jonathan Granot","Variability in GRB Afterglows and GRB 021004","16 pages, 3 figures, New Astronomy in press","New Astron. 8 (2003) 495","10.1016/S1384-1076(03)00044-7",,"astro-ph",,"  We present general analytic expressions for GRB afterglow light curves
arising from a variable external density profile and/or a variable energy in
the blast wave. The former could arise from a clumpy ISM or a variable stellar
wind; The latter could arise from refreshed shocks or from an angular dependent
jet structure (patchy shell). Both scenarios would lead to a variable light
curve. Our formalism enables us to invert the observed light curve and obtain
possible density or energy profiles. The optical afterglow of GRB 021004 was
detected 537 seconds AB (after the burst) (Fox et al. 2002). Extensive follow
up observations revealed a significant temporal variability. We apply our
formalism to the R-band light curve of GRB 021004 and we find that several
models provide a good fit to the data. We consider the patchy shell model with
$p=2.2$ as the most likely explanation. According to this model our line of
sight was towards a ""cold spot"" that has lead to a relativity low $\gamma$-ray
flux and an initially weak afterglow (while the X-ray afterglow flux after a
day was above average). Observations above the cooling frequency, $\nu_c$,
could provide the best way to distinguish between our different models.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 16:48:21 GMT""},{""version"":""v2"",""created"":""Fri, 7 Mar 2003 04:33:47 GMT""}]","2009-11-07"
"astro-ph/0210632","Diego Antonio F. Goncalves","D. Falceta-Goncalves (IAG/USP), V. Jatenco-Pereira (IAG/USP), Z.
  Abraham (IAG/USP)","Dust Formation Events in Colliding Winds: an application to eta Car","proceedings of ""Winds, Bubbles and Explosions - in honour to John
  Dyson"" - Patzcuaro, Mexico (Sep 2002)",,,,"astro-ph",,"  Recent IR observations indicate that many massive binary systems present dust
formation episodes, in regions close to the stars, during the periastron
passage. These systems are known to be high-energy sources, and it is believed
that wind collisions are the origin of the emission. In this work we show that
wind collisions not only increase the X-ray emission but also allow dust
formation. As an application we study eta Car, which presents, near periastron,
an increase in the X-ray emission followed by a sudden decrease that lasts for
about a month. We reproduce this feature calculating the optical depth due to
dust formation along the orbital period.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 17:31:21 GMT""}]","2007-05-23"
"astro-ph/0210633","Shai Kaspi","Shai Kaspi, Hagai Netzer, Dan Maoz, Ohad Shemmer, W. N. Brandt, and
  Donald P. Schneider","Reverberation Mapping of High-Redshift, High-Luminosity Quasars","2 pages, to appear in the proceedings of Active Galactic Nuclei: from
  Central Engine to Host Galaxy, eds. S. Collin, F.Combes, and I. Shlosman",,,,"astro-ph",,"  We present preliminary results from a reverberation mapping program to
measure the Broad Line Region size in high-redshift, high-luminosity quasars.
The observations are carried out at the Hobby-Eberly Telescope and at the Wise
Observatory. The data cover 8 yr of photometric monitoring of 11 quasars, and
2.5 yr of spectrophotometric monitoring of 7 of these sources. Thus far we
detected continuum variations but no line variations. We find that the continua
of the high-luminosity quasars have smaller variability amplitudes and longer
variability timescales compared with low-luminosity AGNs.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 17:43:12 GMT""}]","2007-05-23"
"astro-ph/0210634","John M. Blondin","John M. Blondin, Anthony Mezzacappa and Christine DeMarino","Stability of Standing Accretion Shocks, With an Eye Toward Core Collapse
  Supernovae","21 pages, 13 figures; to be published in The Astrophysical Journal","Astrophys.J. 584 (2003) 971-980","10.1086/345812",,"astro-ph",,"  We examine the stability of standing, spherical accretion shocks. Accretion
shocks arise in core collapse supernovae (the focus of this paper), star
formation, and accreting white dwarfs and neutron stars. We present a simple
analytic model and use time-dependent hydrodynamics simulations to show that
this solution is stable to radial perturbations. In two dimensions we show that
small perturbations to a spherical shock front can lead to rapid growth of
turbulence behind the shock, driven by the injection of vorticity from the now
non-spherical shock. We discuss the ramifications this instability may have for
the supernova mechanism.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 18:33:40 GMT""}]","2009-11-07"
"astro-ph/0210635","Raimann D.","D. Raimann, T. Storchi-Bergmann, R.M. Gonzalez Delgado, R. Cid
  Fernandes, T. Heckman, C. Leitherer and H. Schmitt","Stellar population gradients in Seyfert 2 galaxies. Northern sample","23 pages, 18 figures, MNRAS in press","Mon.Not.Roy.Astron.Soc.339:772,2003","10.1046/j.1365-8711.2003.06222.x",,"astro-ph",,"  We use high signal-to-noise ratio long-slit spectra in the 3600-4700A range
of the twenty brightest northern Seyfert 2 galaxies to study the variation of
the stellar population properties as a function of distance from the nucleus.
In order to characterize the stellar population and other continuum sources
(e.g. featureless continuum FC) we have measured equivalent widths Ws of six
absorption features, four continuum colours and their radial variations, and
performed spectral population synthesis as a function of distance from the
nucleus. About half the sample has CaIIK and G-band W values smaller at the
nucleus than at 1 kpc from it, due to a younger population and/or FC. The
stellar population synthesis shows that, while at the nucleus, 75% of the
galaxies present contribution > 20% of ages younger or equal than 100Myr and/or
of a FC, this proportion decreases to 45% at 3 kpc. In particular, 55% of the
galaxies have contribution > 10% of the 3 Myr/FC component (a degenerate
component in which one cannot separate what is due to a FC or to a 3 Myr
stellar population) at the nucleus, but only 25% of them have this contribution
at 3 kpc. As reference, the stellar population of 10 non-Seyfert galaxies,
spanning the Hubble types of the Seyfert (from S0 to Sc) was also studied. A
comparison between the stellar population of the Seyferts and that of the
non-Seyferts shows systematic differences: the contribution of ages younger
than 1 Gyr is in most cases larger in the Seyfert galaxies than in
non-Seyferts, not only at the nucleus but up to 1 kpc from it.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 18:44:18 GMT""}]","2009-07-22"
"astro-ph/0210636","Margo F. Aller","H. D. Aller, M.F. Aller, & P.A. Hughes","Oblique Polarization Structures in AGN and QSO Radio Jets","Proceedings of the 6th European VLBI Network Symposium, Ros E.,
  Porcas R.W., Lobanov, A.P., & Zensus, J.A. (eds), MPIfR, Bonn, Germany. 4
  pages, 6 figures, needs evn2002.cls style file",,,,"astro-ph",,"  We interpret the linear polarization structures observed in extragalactic
radio sources, even those oriented at oblique angles to the jet flows, to be
due to oblique, relativistic shock fronts in the emitting regions. Many sources
exhibit indications of such oblique structures, and the goal of this
investigation is to test this hypothesis quantitatively. A selected group of
ten highly-variable extragalactic sources were observed with the VLBA at 15 and
43 GHz, on nine epochs spanning a 30-month period; five of these objects were
also observed at 8.0 and 22 GHz. The integrated total flux densities and linear
polarizations of the selected objects were also observed several times a month
at 4.8, 8.0 and 14.5 GHz with the University of Michigan 26-meter telescope.
All objects exhibited variability with several exhibiting more than one
independent outburst during the period. We show the evolution of the polarized
components with time and discuss the relativistic shock parameters required to
match the observed polarization structures. Even cases where the magnetic field
is apparently oriented along the jet flow can be fit by oblique shock models
when relativistic aberration effects are included.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 20:39:26 GMT""}]","2007-05-23"
"astro-ph/0210637","David J. Nice","David J. Nice, Eric M. Splaver (Princeton), Ingrid H. Stairs (UBC)","Neutron Star Masses from Arecibo Timing Observations of Five
  Pulsar-White Dwarf Binary Systems","6 pages, to appear in proceedings of ""Radio Pulsars,"" Chania, Crete,
  August 2002 (ASP conference series)",,,,"astro-ph",,"  We have detected relativistic and/or kinematic post-Keplerian parameters of
no fewer than five pulsar-white dwarf binary systems in long-term timing
observations at Arecibo. We discuss the resulting constraints on pulsar and
companion masses. The general trend is that the pulsar mass measurements are
compatible with the canonical value of 1.35 solar masses, but in most cases
somewhat higher masses are preferred.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 21:01:13 GMT""}]","2007-05-23"
"astro-ph/0210639","Bradley M. Peterson","Bradley M. Peterson","Masses of Black Holes in Active Galactic Nuclei","4 pages, 1 figure. To be published in ""Active Galactic Nuclei: from
  Central Engine to Host Galaxy"", ed. S. Collin, F. Combes, and I. Shlosman",,,,"astro-ph",,"  We present a progress report on a project whose goal is to improve both the
precision and accuracy of everberation-based black-hole masses. Reverberation
masses appear to be accurate to a factor of about three, and the black-hole
mass/bulge velocity dispersion relationship appears to be the same in active
and quiescent galaxies.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 21:12:04 GMT""}]","2007-05-23"
"astro-ph/0210640","David Parkinson","Bruce A. Bassett (Portsmouth), Martin Kunz (Sussex), David Parkinson
  (Portsmouth) and Carlo Ungarelli (Birmingham, Portsmouth)","Did the dark energy always have a large Compton wavelength?","5 pages, 3 colour eps figures. Related to a talk given by BB at the
  XVIIIth IAP Colloquium ""On the nature of Dark Energy"", Paris, July 2002",,,,"astro-ph gr-qc hep-ph",,"  Until now all well-studied dark energy models proposed have very large
Compton wavelengths, $\lambda_c > 100 Mpc$ at all time and hence show no
clustering on small scales. Evidence against this would disfavour both
$\Lambda$CDM and quintessence. We show however, that large $\lambda_c$ is
actually favoured by current CMB, LSS and SN1a data by comparing quintessence
with a condensate scenario with the same background dynamics. The condensate
scenario has a very small $\lambda_c$ before making a transition to negative
pressure and large $\lambda_c$ and therefore exhibits a rich CMB phenomenology
which roughly interpolates between $\Lambda$CDM and flat CDM models.
","[{""version"":""v1"",""created"":""Tue, 29 Oct 2002 21:26:53 GMT""},{""version"":""v2"",""created"":""Fri, 15 Nov 2002 15:09:27 GMT""}]","2007-05-23"
