"astro-ph/0203520","David Polarski","David Blais, Claus Kiefer and David Polarski","Can Primordial Black Holes be a Significant Part of Dark Matter ?","10 pages, 3 figures; one typo corrected, version to appear in Phys.
  Lett. B","Phys.Lett. B535 (2002) 11-16","10.1016/S0370-2693(02)01803-8",,"astro-ph gr-qc",,"  The computation of PBH (primordial black hole) production from primordial
perturbations has recently been improved by considering a more accurate
relation between the primordial power spectrum and the PBH mass variance. We
present here exact expressions which are valid for primordial spectra of
arbitrary shape and which allow accurate numerical calculations. We then
consider the possibility to have a significant part of dark matter in the form
of PBHs produced by a primordial spectrum of inflationary origin possessing a
characteristic scale. We show that in this model the relevant PBH mass is
constrained to lie in the range $5\times 10^{15} {\rm g}\lesssim M \lesssim
10^{21} {\rm g}$. This is much less than the mass range coming from the QCD
phase transition, allowing the two mechanisms to be easily distinguished.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 17:21:33 GMT""},{""version"":""v2"",""created"":""Thu, 25 Apr 2002 12:32:09 GMT""}]","2009-11-07"
"astro-ph/0203521","Gianluca Li Causi","G. Li Causi, G. De Marchi and F. Paresce","On the accuracy of the S/N estimates obtained with the exposure time
  calculator of the Wide Field Planetary Camera 2 on board the Hubble Space
  Telescope","14 pages, 13 figures, to be published in PASP on July 2002",,"10.1086/341701",,"astro-ph",,"  We have studied the accuracy and reliability of the exposure time calculator
(ETC) of the Wide Field Planetary Camera 2 (WFPC2) on board the Hubble Space
Telescope (HST) with the objective of determining how well it represents actual
observations and, therefore, how much confidence can be invested in it and in
similar software tools. We have found, for example, that the ETC gives, in
certain circumstances, very optimistic values for the signal-to-noise ratio
(SNR) of point sources. These values overestimate by up to a factor of 2 the
HST performance when simulations are needed to plan deep imaging observations,
thus bearing serious implications on observing time allocation. For this
particular case, we calculate the corrective factors to compute the appropriate
SNR and detection limits and we show how these corrections vary with field
crowding and sky background. We also compare the ETC of the WFPC2 with a more
general ETC tool, which takes into account the real effects of pixel size and
charge diffusion. Our analysis indicates that similar problems may afflict
other ETCs in general showing the limits to which they are bound and the
caution with which their results must be taken.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 16:59:14 GMT""}]","2009-11-07"
"astro-ph/0203522","Oleg V. Verkhodanov","O.V. Verkhodanov (1), Yu.N. Parijskij (1), N.S. Soboleva (1), A.I.
  Kopylov (1), A.V. Temirova (1), O.P. Zhelenkova (1), W.M. Goss (2) ((1)
  Special astrophysical observatory, Nizhnij Arkhyz, Russia, (2) National Radio
  Astronomical Observatory, Soccoro, USA)","Results of investigation of radio galaxies of the survey ""Cold"":
  photometry, colour redshifts and the age of the stellar population","20 pages and 6 figures (total number of figures is about 450 (mostly
  unified in 2 last complex figures (No 5 and 6) can be requested at
  anonymous@ftp://sed.sao.ru/pub/bul52/, two of these complex figures are given
  as examples in this e-preprint), uses sao2.sty and psfig.sty. Bulletin of
  SAO, 2001, No 52, PP.5-133, in press",,,,"astro-ph",,"  BVRI data for the majority of the objects of the RC catalogue with steep
spectra and $m_R<24^m$ are presented. These data have been used to estimate
colour redshifts and the age of stellar systems of host galaxies. By way of
example of distant radio galaxies it is shown that this approach gives an
accuracy of redshift estimates close to that for field galaxies ($\sim20$ %).
The age estimates are less confident, however, the lower age limit for not too
distant ($z<1.5$) objects is determined quite reliably. Several galaxies have
been detected that have an age above that of the Universe at the given $z$ in a
simple CDM model of the Universe. A possibility of using such objects to
specify the part played by ``dark energy'' is discussed. This paradox
disappears in a model with the $\Lambda$-term equal to 0.6--0.8.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 16:48:07 GMT""}]","2009-09-29"
"astro-ph/0203523","Julia Lee","J.C. Lee (1), K. Iwasawa (2), J.C. Houck (1), A.C. Fabian (2), H.L.
  Marshall (1), C.R. Canizares (1) ((1) MIT, (2) IoA - U. Cambridge, UK)","The shape of the relativistic iron K-alpha line from MCG6--6-30-15
  measured with the Chandra HETGS and RXTE","Accepted for publication in the Astrophysical Journal Letters",,"10.1086/340992",,"astro-ph",,"  We confirm the detection of the relativistically broadened iron K-alpha
emission at 6.4 keV with simultaneous Chandra HETGS and RXTE PCA observations.
Heavily binned HETGS data show a disk line profile with parameters very similar
to those previously seen by ASCA. We observe a resolved narrow component with a
velocity width ~4700 km/s (FWHM ~ 11,000 km/s), that is most prominent, and
narrower (FWHM ~ 3600 km/s) when the continuum flux is high. It plausibly is
just the blue wing of the broad line. We obtain a stringent limit on the
equivalent width of an intrinsically narrow line in the source of 16 eV,
indicating little or no contribution due to fluoresence from distant material
such as the molecular torus. Variability studies of the narrow component show a
constant iron line flux and variable width indicating the line may be
originating from different kinematic regions of the disk.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 20:56:56 GMT""},{""version"":""v2"",""created"":""Fri, 29 Mar 2002 21:13:44 GMT""}]","2015-06-24"
"astro-ph/0203524","Renyue Cen","Renyue Cen, Jeremiah P. Ostriker, Jason X. Prochaska and Arthur M.
  Wolfe","Metallicity Evolution of Damped Lyman Alpha Systems In Lambda CDM
  Cosmology","accepted to ApJ, 41 pages Figure 1 in color can be found at
  http://astro.princeton.edu/~cen/PROJECTS/p2/rhob_Z3.jpeg","Astrophys.J. 598 (2003) 741-755","10.1086/378881",,"astro-ph",,"  Utilizing a new, high mass resolution hydrodynamic simulation we compute the
metallicity evolution of damped Lyman alpha systems (DLAs) and find a
reasonable agreement with observations. In particular, the observed slow
evolution of the DLA metallicity occurs naturally in the simulation due to the
combined effects of physical and observational selection. The slow metallicity
evolution is caused by the steady transformation, with increasing time, of the
highest metallicity systems to ""galaxies"", thus depleting this category, while
all the lower metallicity systems show, individually, an increase in
metallicity. Although the trend of DLA metallicity with redshift is in good
agreement with observations, it appears that the average metallicity of
simulated DLAs is higher than observed by 0.3-0.5 dex in the probed redshift
range (z=0-5). Our study indicates that this difference may be attributed to
observational selection effects due to dust obscuration. If we allow for a dust
obscuration effect, our model reproduces the observed metallicity evolution in
both amplitude and slope. We find that DLAs are not a simple population but
probe a range of different systems and the mix changes with redshift. About 50%
of all metals in the gaseous phase is in DLAs at all times from z=5 to z=1,
making a rapid downturn at z\le 1 to ~20% by z=0, as metals are swept into the
hotter components of the IGM as well as locked up in stars. While not the
primary focus of this study, we find that the model provides good matches to
observations with respect to column density distribution and evolution of
neutral gas content, if the same dust obscuration is taken into account. We
find Omega_{DLA,comp}=(1-3)E-3, depending on the effect of dust obscuration.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 20:57:21 GMT""},{""version"":""v2"",""created"":""Tue, 29 Jul 2003 16:32:28 GMT""}]","2009-11-07"
"astro-ph/0204001","Phil Armitage","Philip J. Armitage, Mario Livio, S.H. Lubow, J.E. Pringle","Predictions for the frequency and orbital radii of massive extrasolar
  planets","MNRAS, in press",,"10.1046/j.1365-8711.2002.05531.x",,"astro-ph",,"  We investigate the migration of massive extrasolar planets due to
gravitational interaction with a viscous protoplanetary disc. We show that a
model in which planets form at 5 AU at a constant rate, before migrating, leads
to a predicted distribution of planets that is a steeply rising function of log
(a), where a is the orbital radius. Between 1 AU and 3 AU, the expected number
of planets per logarithmic interval in orbital radius roughly doubles. We
demonstrate that, once selection effects are accounted for, this is consistent
with current data, and then extrapolate the observed planet fraction to masses
and radii that are inaccessible to current observations. In total, about 15
percent of stars targeted by existing radial velocity searches are predicted to
possess planets with masses 0.3 M_Jupiter < M_p sin (i) < 10 M_Jupiter, and
radii 0.1 AU < a < 5 AU. A third of these planets (around 5 percent of the
target stars) lie at the radii most amenable to detection via microlensing. A
further 5-10 percent of stars could have planets at radii of 5 AU < a < 8 AU
that have migrated outwards. We discuss the probability of forming a system
(akin to the Solar System) in which significant radial migration of the most
massive planet does not occur. About 10-15 percent of systems with a surviving
massive planet are estimated to fall into this class. Finally, we note that a
smaller fraction of low mass planets than high mass planets is expected to
survive without being consumed by the star. The initial mass function for
planets is thus predicted to rise more steeply towards small masses than the
observed mass function.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 21:18:51 GMT""}]","2009-11-07"
"astro-ph/0204002","Edward J. M. Colbert","E. Colbert and A. Ptak (JHU)","A Catalog of Candidate Intermediate-luminosity X-ray Objects","29 pages, ApJS, accepted (catalog v2.0) (full resolution version of
  paper and future releases of catalog at http://www.xassist.org/ixocat_hri)","Astrophys.J.Suppl. 143 (2002) 25-46","10.1086/342507",,"astro-ph",,"  ROSAT, and now Chandra, X-ray images allow studies of extranuclear X-ray
point sources in galaxies other than our own. X-ray observations of normal
galaxies with ROSAT and Chandra have revealed that off-nuclear, compact,
Intermediate-luminosity (Lx[2-10 keV] >= 1e39 erg/s) X-ray Objects (IXOs,
a.k.a. ULXs [Ultraluminous X-ray sources]) are quite common. Here we present a
catalog and finding charts for 87 IXOs in 54 galaxies, derived from all of the
ROSAT HRI imaging data for galaxies with cz <= 5000 km/s from the Third
Reference Catalog of Bright Galaxies (RC3). We have defined the cutoff Lx for
IXOs so that it is well above the Eddington luminosity of a 1.4 Msun black hole
(10^38.3 erg/s), so as not to confuse IXOs with ``normal'' black hole X-ray
binaries. This catalog is intended to provide a baseline for follow-up work
with Chandra and XMM, and with space- and ground-based survey work at
wavelengths other than X-ray. We demonstrate that elliptical galaxies with IXOs
have a larger number of IXOs per galaxy than non-elliptical galaxies with IXOs,
and note that they are not likely to be merely high-mass X-ray binaries with
beamed X-ray emission, as may be the case for IXOs in starburst galaxies.
Approximately half of the IXOs with multiple observations show X-ray
variability, and many (19) of the IXOs have faint optical counterparts in DSS
optical B-band images. Follow-up observations of these objects should be
helpful in identifying their nature.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 22:30:22 GMT""},{""version"":""v2"",""created"":""Fri, 21 Jun 2002 12:56:02 GMT""}]","2009-11-07"
"astro-ph/0204003","Rafael Angel Araya-Gochez","Rafael Angel Araya-Gochez","Hydromagnetic Stability of a Slim Disk in a Stationary Geometry","submitted to M.N.R.A.S. (3/29/02), 14 pages, 2 figures v2 accepted
  paper: clarified text and added discussion on radial flow effects. Added
  references","Mon.Not.Roy.Astron.Soc. 337 (2002) 795","10.1046/j.1365-8711.2002.05826.x",,"astro-ph",,"  The magnetorotational instability originates from the elastic coupling of
fluid elements in orbit around a gravitational well. Since inertial
accelerations play a fundamental dynamical role in the process, one may expect
substantial modifications by strong gravity in the case of accretion on to a
black hole. In this paper, we develop a fully covariant, Lagrangian
displacement vector field formalism with the aim of addressing these issues for
a disk embedded in a stationary geometry with negligible radial flow. This
construction enables a transparent connection between particle dynamics and the
ensuing dispersion relation for MHD wave modes. The MRI--in its incompressible
variant-- is found to operate virtually unabated down to the marginally stable
orbit; the putative inner boundary of standard accretion disk theory. To get a
qualitative feel for the dynamical evolution of the flow below $r_{\rm ms}$, we
assume a mildly advective accretion flow such that the angular velocity profile
departs slowly from circular geodesic flow. This exercise suggests that the
turbulent eddies will occur at spatial scales approaching the radial distance
while tracking the surfaces of null angular velocity gradients. The implied
field topology, namely large-scale horizontal field domains, should yield
strong mass segregation at the displacement nodes of the non-linear modes when
radiation stress dominates the local disk structure (an expectation supported
by quasi-linear arguments and by the non-linear behavior of the MRI in a
non-relativistic setting). Under this circumstance, baryon-poor flux in
horizontal field domains will be subject to radial buoyancy and to the Parker
instability, thereby promoting the growth of poloidal field.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 23:38:10 GMT""},{""version"":""v2"",""created"":""Mon, 3 Nov 2003 20:57:17 GMT""}]","2009-11-07"
"astro-ph/0204004","Sang-Hyeon Ahn","Sang-Hyeon Ahn (KIAS), Hee-Won Lee (Sejong Univ.), Hyung Mok Lee
  (Seoul Nat'l Univ.)","P-Cygni Type Lya from Starburst Galaxies","15 pages, 6 figures, submitted to MNRAS","Mon.Not.Roy.Astron.Soc. 340 (2003) 863","10.1046/j.1365-8711.2003.06353.x","KIAS-P02020","astro-ph",,"  P-Cygni type Lya profiles exhibited in nearly half of starburst galaxies,
both nearby and high-z, are believed to be formed by an expanding supershell
surrounding a star-forming region. We apply the Monte Carlo code which was
developed previously for static and plane-parallel medium to calculate the Lya
line transfer in a supershell of neutral hydrogen which are expanding radially
in a spherical bulk flow. We consider typical cases that the supershell has the
Lya line-centre optical depth of $\tau_0=10^5-10^7$, a radial expansion
velocity of $V_exp = 300 km/s, and the turbulence of b=40 km/s. We find that
there appear a few emission peaks at the frequencies corresponding to (2N-1)
V_exp, where the order of back scatterings N > 1. As V_exp -> b, the emergent
profiles become similar to those for the static medium and the peaks are less
prominent. We also investigate the effects of column density of the supershell
on the emergent Lya profiles. We find that the number and the flux ratios of
emission peaks are determined by interplay of $\tau_0$ and V_exp of the
supershell. We discuss the effects of dust extinction and the implication of
our works in relation to recent spectroscopic observations of starburst
galaxies.
","[{""version"":""v1"",""created"":""Sat, 30 Mar 2002 05:04:48 GMT""}]","2009-11-07"
"astro-ph/0204005","Sang-Hyeon Ahn","Hee-Won Lee (Sejong Univ.), Sang-Hyeon Ahn (Korea Institute for
  Advanced Study, KIAS)","Lya Polarisation in Thick H I Media","17 pages, 9 figures, submitted to MNRAS",,,"KIAS-P02021","astro-ph",,"  We have investigated the linear polarisation of Lya transferred in a static,
dustless, and thick plane-parallel slab that is uniformly filled with neutral
hydrogen. Because the scattering phase function is characterised by the dipole
type for wing scatterings of Lya, which is in high contrast with more isotropic
scattering phase function associated with resonant scatterings, the
polarisation of the emergent Lya is dominantly controlled by the number of wing
scatterings before escape from the slab. When the scattering medium is
extremely thick, photons emergent in the grazing direction are polarised in the
direction perpendicular to the slab normal up to 12%, which coincides with the
limit attained by the Thomson scattered radiation in a semi-infinite thick
medium investigated by Chandrasekhar in 1960. The number of wing scatterings
before escape is sensitively dependent on the product of the Voigt parameter
$a$ and the line-centre optical depth $\tau_0$, with which the variation of the
degree of polarisation can also be explained in comparison with the Thomson
scattering case. The polarisation direction is parallel to the slab normal when
$a\tau_0<10^3$, while it is perpendicular when $a\tau_0>10^3$. Our simulated
spectropolarimetry of Lya from a highly thick medium is characterised by
negligible polarisation around the line centre, parallel polarisation in the
near wing parts and perpendicular polarisation in the far wing parts, where the
polarisation direction is measured with respect to the slab normal. The
polarisation flip naturally reflects the diffusive nature of the Lya transfer
process in both real space and frequency space. We also discuss the beaming
effect that is associated with the parallel polarisation in the near wing parts
of the emission.
","[{""version"":""v1"",""created"":""Sat, 30 Mar 2002 04:53:02 GMT""}]","2007-05-23"
"cond-mat/0203603","Miguel Robles","M. Robles and M. L\'opez de Haro","On the liquid-glass transition line in monatomic Lennard-Jones fluids","4 pages, 2 figures",,"10.1209/epl/i2003-00362-7",,"cond-mat.stat-mech",,"  A thermodynamic approach to derive the liquid-glass transition line in the
reduced temperature vs reduced density plane for a monatomic Lennard-Jones
fluid is presented. The approach makes use of a recent reformulation of the
classical perturbation theory of liquids [M. Robles and M. L\'opez de Haro,
Phys. Chem. Chem. Phys. {\bf 3}, 5528 (2001)] which is at grips with a rational
function approximation for the Laplace transform of the radial distribution
function of the hard-sphere fluid. The only input required is an equation of
state for the hard-sphere system. Within the Mansoori-Canfield/Rasaiah-Stell
variational perturbation theory, two choices for such an equation of state,
leading to a glass transition for the hard-sphere fluid, are considered. Good
agreement with the liquid-glass transition line derived from recent molecular
dynamic simulations [Di Leonardo et al., Phys. Rev. Lett. {\bf 84}, 6054(2000)]
is obtained.
","[{""version"":""v1"",""created"":""Fri, 29 Mar 2002 20:43:18 GMT""}]","2009-11-07"
